GBR_ID,GBR_NAME,X_COORD,Y_COORD
15080,Ribbon No 1 Reef,145.80508423,-15.60583305
15081,Rosser Reef,145.51507568,-15.60728073
15082,Emily Reef,145.62632751,-15.60594273
15083,Gill Patches,145.50814819,-15.62998772
15084,Irene Reef,145.71505737,-15.64757061
15085,Lena Reef,145.80799866,-15.64650345
16051A,Rocky Island Reef,145.89472961,-16.88350105
16054A,Fitzroy Island Reef (No 1),145.99356079,-16.92498398
17001A,Sudbury Reef (No 1),146.2049408,-16.99837875
17057,Gilbey Reef,146.57826233,-17.58052826
17058,Armistice Reef,146.71542358,-17.66964531
17059A,Potter Reef (No 1),146.54440308,-17.69752693
17059B,Potter Reef (No 2),146.55450439,-17.72473907
17059C,Potter Reef (No 3),146.57209778,-17.69412804
15086,Cairns Reef,145.50866699,-15.67227173
15087,Pearl Reef,145.80036926,-15.71876621
15088,Ruby Reef,145.78079224,-15.74977016
15089,Endeavour Reef,145.58180237,-15.77656364
15090,Andersen Reef,145.80323792,-15.78924942
15092,Rachel Carson Reef,145.81944275,-15.82970524
16054B,Fitzroy Island Reef (No 2),145.98471069,-16.93302727
17001B,Sudbury Reef (No 2),146.19506836,-16.95053864
17001C,Sudbury Reef (No 3),146.21685791,-16.95290756
17001D,Sudbury Reef (No 4),146.21102905,-16.99845695
17002A,Stagg Patches (North),146.12869263,-17.01241112
17002B,Stagg Patches (South),146.1312561,-17.02049446
17003A,Hervey Shoals (North),146.4559021,-16.99902725
17003B,Hervey Shoals (South),146.46136475,-17.03743553
17004,Scott Reef,146.18499756,-17.07360649
17062,Noreaster Reef,146.65055847,-17.77948189
17063A,Farquharson Reef (No 1),146.51689148,-17.79090881
17063B,Farquharson Reef (No 2),146.54241943,-17.75642776
15093,Pickersgill Reef,145.57443237,-15.87277699
15094,Escape Reef,145.79629517,-15.87716198
15095,Evening Reef,145.65682983,-15.90518665
15096,Agincourt Reefs (No 4),145.82078552,-15.94987965
16055,Little Fitzroy Island Reef,146.00578308,-16.92298126
17005,Stevens Reef,146.41052246,-17.09885216
17006,Maori Reef,146.34466553,-17.09428787
17008,Noggin Reef,146.46858215,-17.12631226
17064,Taylor Reef,146.54951477,-17.83285522
17066,Yamacutta Reef,146.58634949,-17.88853264
15098,Morning Reef,145.6651001,-15.97551823
15099A,Agincourt Reefs (No 3),145.83221436,-15.98979378
15099B,Agincourt Reefs (No 2a),145.85093689,-16.01783371
15099C,Agincourt Reefs (No 1),145.86737061,-16.05204773
15099D,Agincourt Reefs (No 5),145.83525085,-16.03521538
15099E,Agincourt Reefs (No 2b),145.85839844,-16.03013229
16057,Hastings Reef,146.00813293,-16.51843643
17009A,Tobias Spit,146.01023865,-17.15787888
17068,Moss Reef,146.79472351,-17.94563866
16004,Struck Reef,145.44586182,-16.1672802
16005,Black Rock Reef,145.48576355,-16.2443924
16058,Hope Reef,146.12957764,-16.52711296
16060,Michaelmas Reef,146.01898193,-16.5817585
16061,Fin Reef,146.16398621,-16.60890007
16062A,Pretty Patches (No 1),146.02287292,-16.64326859
17010,Flora Reef,146.29089355,-17.1848011
17011,Coates Reef,146.36857605,-17.19708824
17012,Normanby-Mabel Reef,146.07714844,-17.20950317
18001,Richards (Bedarra) Reef,146.15190125,-18.00790215
18003,Wheeler (Toolgbar) Island Reef,146.16633606,-18.02551842
18004,Coombe Reef,146.17631531,-18.0398407
18005,Smith-Bowden Reef,146.20005798,-18.03983498
16006,Snapper Reef,145.49964905,-16.29825974
16062B,Pretty Patches (No 2),146.04202271,-16.6241188
16062C,Pretty Patches (No 3),146.03562927,-16.64635658
16063,Euston Reef,146.25227356,-16.68704605
16064,Arlington Reef,146.05477905,-16.69470215
16065,Flynn Reef,146.27462769,-16.72874832
17012B,Jones Patch,146.07754517,-17.21987915
17013,Round-Russell Reef,146.09152222,-17.22398567
18006,Hudson (Coolah) Reef,146.20283508,-18.05085564
18007,Kennedy Shoal,146.45056152,-18.07859993
18008,Brook Islands Reef,146.29048157,-18.14867592
18009,Brook Shoal,146.26716614,-18.15608406
16010,Morey Reef,145.44677734,-16.47330093
16012A,Spitfire Reefs (West),145.61981201,-16.00907516
16012B,Spitfire Reefs (East),145.63525391,-16.01484108
16066A,Jenny Louise Shoal (North),146.32583618,-16.73413849
16066B,Jenny Louise Shoal (South),146.34199524,-16.75384903
16067,Milln Reef,146.2653656,-16.77837372
16068,Thetford Reef,146.18086243,-16.80299377
16069,Baines Patches,146.3543396,-16.80519676
16070,Pellowe Reef,146.35768127,-16.85753441
